CustomerID,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,Country,Revenue
C0001,INV10001,SKU101,Ceramic Mug,3,2023-01-05,4.50,India,13.50
C0002,INV10002,SKU202,Silk Scarf,2,2023-01-07,18.99,India,37.98
C0001,INV10003,SKU303,Leather Wallet,1,2023-01-15,22.00,India,22.00
C0003,INV10004,SKU101,Ceramic Mug,5,2023-01-20,4.50,UK,22.50
C0004,INV10005,SKU404,Bamboo Notebook,3,2023-01-22,8.75,India,26.25
C0002,INV10006,SKU505,Herbal Tea Set,2,2023-02-01,12.00,India,24.00
C0005,INV10007,SKU202,Silk Scarf,1,2023-02-10,18.99,UAE,18.99
C0001,INV10008,SKU606,Cotton Tote Bag,4,2023-02-14,6.50,India,26.00
C0006,INV10009,SKU707,Copper Bottle,2,2023-02-18,15.00,India,30.00
C0003,INV10010,SKU808,Jute Basket,3,2023-02-25,9.50,UK,28.50
C0007,INV10011,SKU101,Ceramic Mug,6,2023-03-02,4.50,India,27.00
C0004,INV10012,SKU404,Bamboo Notebook,2,2023-03-10,8.75,India,17.50
C0005,INV10013,SKU909,Artisan Soap,5,2023-03-15,5.25,UAE,26.25
C0008,INV10014,SKU303,Leather Wallet,2,2023-03-20,22.00,India,44.00
C0002,INV10015,SKU606,Cotton Tote Bag,3,2023-03-28,6.50,India,19.50
C0009,INV10016,SKU202,Silk Scarf,1,2023-04-01,18.99,India,18.99
C0006,INV10017,SKU707,Copper Bottle,1,2023-04-05,15.00,India,15.00
C0001,INV10018,SKU404,Bamboo Notebook,4,2023-04-12,8.75,India,35.00
C0010,INV10019,SKU505,Herbal Tea Set,3,2023-04-18,12.00,USA,36.00
C0003,INV10020,SKU101,Ceramic Mug,2,2023-04-22,4.50,UK,9.00
